id,name,studentId,lksCount,difficulty,deadline,estimatedMinutes
1,Tugas Pemrograman Web,S001,5,4,2026-05-22T14:30,120
2,Tugas Basis Data,S002,3,3,2026-05-23T09:00,90
3,Tugas Algoritma,S001,7,5,2026-05-24T16:00,150
4,Tugas Jaringan Komputer,S003,4,3,2026-05-25T10:00,60
5,Tugas Kriptografi,S002,6,4,2026-05-26T13:30,120
6,Tugas Statistik,S004,2,2,2026-05-27T08:00,45
7,Tugas Machine Learning,S003,8,5,2026-05-22T15:00,180
8,Tugas UI/UX Design,S005,3,3,2026-05-28T11:00,90
9,Tugas Proyek Akhir,S001,10,5,2026-05-29T14:00,240
10,Tugas Pengantar AI,S006,4,3,2026-05-30T09:30,75
11,Tugas Matematika Diskrit,S007,5,3,2026-05-23T11:00,100
12,Tugas Sistem Operasi,S008,6,4,2026-05-24T08:30,110
13,Tugas Grafika Komputer,S009,4,2,2026-05-25T15:00,80
14,Tugas Keamanan Jaringan,S010,7,5,2026-05-26T10:00,140
15,Tugas Rekayasa Perangkat Lunak,S003,3,3,2026-05-27T13:00,95
16,Tugas Cloud Computing,S011,8,4,2026-05-28T09:00,130
17,Tugas Internet of Things,S012,5,3,2026-05-29T11:30,70
18,Tugas Big Data,S004,9,5,2026-05-30T14:00,200
19,Tugas Blockchain,S005,6,4,2026-05-31T08:00,115
20,Tugas Augmented Reality,S013,4,2,2026-06-01T10:30,60
21,Tugas Text Mining,S006,7,5,2026-06-02T15:00,165
22,Tugas Neural Network,S007,8,4,2026-06-03T09:00,175
23,Tugas Computer Vision,S008,5,3,2026-06-04T13:30,85
24,Tugas Natural Language Processing,S009,6,4,2026-06-05T11:00,125
25,Tugas Distributed Systems,S010,9,5,2026-06-06T14:30,190
26,Tugas DevOps Practices,S011,3,2,2026-06-07T08:30,55
27,Tugas Microservices,S012,7,4,2026-06-08T10:00,135
28,Tugas Quantum Computing,S013,10,5,2026-06-09T16:00,220
29,Tugas Embedded Systems,S014,4,3,2026-06-10T09:30,75
30,Tugas Mobile Development,S015,5,3,2026-06-11T13:00,100
